Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
UGROCAP,NSE:UGROCAP,WEEKLY,156w,96.95,96.87,0.09,630.6,26-01-2026,139.12,140,9
BOROLTD,NSE:BOROLTD,WEEKLY,52w,226.15,221.82,1.95,605.1,26-01-2026,240.1,140,3
BOROLTD,NSE:BOROLTD,WEEKLY,156w,226.15,221.82,1.95,605.1,26-01-2026,240.1,140,3
BOROLTD,NSE:BOROLTD,WEEKLY,104w,226.15,221.82,1.95,605.1,26-01-2026,240.1,140,3
IMAGICAA,NSE:IMAGICAA,WEEKLY,52w,43.51,43.16,0.81,570.9,29-12-2025,43.9,168,7
IMAGICAA,NSE:IMAGICAA,WEEKLY,104w,43.51,43.16,0.81,570.9,29-12-2025,43.9,168,7
LAOPALA,NSE:LAOPALA,WEEKLY,52w,180.89,177.61,1.85,524.6,26-01-2026,188.01,140,8
ICEMAKE,NSE:ICEMAKE,WEEKLY,52w,757.55,748.53,1.21,517.4,24-11-2025,666.55,203,2
FELIX,NSE:FELIX,WEEKLY,52w,182.05,178.52,1.98,447.8,08-12-2025,142.65,189,2
NILKAMAL,NSE:NILKAMAL,WEEKLY,52w,1282.2,1277.78,0.35,403.6,08-12-2025,1330.7,189,6
NILKAMAL,NSE:NILKAMAL,WEEKLY,260w,1282.2,1277.78,0.35,403.6,08-12-2025,1330.7,189,6
NILKAMAL,NSE:NILKAMAL,WEEKLY,156w,1282.2,1277.78,0.35,403.6,08-12-2025,1330.7,189,6
NILKAMAL,NSE:NILKAMAL,WEEKLY,208w,1282.2,1277.78,0.35,403.6,08-12-2025,1330.7,189,6
NILKAMAL,NSE:NILKAMAL,WEEKLY,104w,1282.2,1277.78,0.35,403.6,08-12-2025,1330.7,189,6
ONWARDTEC,NSE:ONWARDTEC,WEEKLY,52w,257.4,253.95,1.36,384.8,15-12-2025,261.05,182,10
CONTROLPR,NSE:CONTROLPR,WEEKLY,260w,625.7,616.97,1.42,335.1,18-10-2021,273.83,1701,3
SWARAJ,NSE:SWARAJ,WEEKLY,52w,244.9,244.31,0.24,333.1,29-09-2025,158.5,259,2
REPRO,NSE:REPRO,WEEKLY,156w,369.5,364.96,1.24,306.2,26-01-2026,367.0,140,10
REPRO,NSE:REPRO,WEEKLY,52w,369.5,364.96,1.24,306.2,26-01-2026,367.0,140,10
REPRO,NSE:REPRO,WEEKLY,104w,369.5,364.96,1.24,306.2,26-01-2026,367.0,140,10
SAURASHCEM,NSE:SAURASHCEM,WEEKLY,104w,58.99,58.32,1.15,273.3,26-01-2026,69.05,140,8
SAURASHCEM,NSE:SAURASHCEM,WEEKLY,208w,58.99,58.32,1.15,273.3,26-01-2026,69.05,140,8
SAURASHCEM,NSE:SAURASHCEM,WEEKLY,260w,58.99,58.32,1.15,273.3,26-01-2026,69.05,140,8
SAURASHCEM,NSE:SAURASHCEM,WEEKLY,156w,58.99,58.32,1.15,273.3,26-01-2026,69.05,140,8
SAURASHCEM,NSE:SAURASHCEM,WEEKLY,52w,58.99,58.32,1.15,273.3,26-01-2026,69.05,140,8
SAGCEM,NSE:SAGCEM,WEEKLY,52w,175.2,173.26,1.12,266.9,26-01-2026,181.16,140,5
HERANBA,NSE:HERANBA,WEEKLY,52w,188.07,185.1,1.6,260.3,19-01-2026,204.0,147,5
HERANBA,NSE:HERANBA,WEEKLY,104w,188.07,185.1,1.6,260.3,19-01-2026,204.0,147,5
HERANBA,NSE:HERANBA,WEEKLY,208w,188.07,185.1,1.6,260.3,19-01-2026,204.0,147,5
HERANBA,NSE:HERANBA,WEEKLY,260w,188.07,185.1,1.6,260.3,19-01-2026,204.0,147,5
HERANBA,NSE:HERANBA,WEEKLY,156w,188.07,185.1,1.6,260.3,19-01-2026,204.0,147,5
PYRAMID,NSE:PYRAMID,WEEKLY,208w,176.49,175.47,0.58,214.5,03-06-2024,134.01,742,43
PYRAMID,NSE:PYRAMID,WEEKLY,260w,176.49,175.47,0.58,214.5,03-06-2024,134.01,742,43
PYRAMID,NSE:PYRAMID,WEEKLY,156w,176.49,175.47,0.58,214.5,03-06-2024,134.01,742,43
PROZONER,NSE:PROZONER,WEEKLY,52w,48.44,48.08,0.74,202.7,23-06-2025,34.42,357,5
HALDER,NSE:HALDER,WEEKLY,52w,232.72,229.09,1.58,182.6,26-01-2026,261.5,140,4
HALDER,NSE:HALDER,WEEKLY,260w,232.72,229.09,1.58,182.6,26-01-2026,261.5,140,4
HALDER,NSE:HALDER,WEEKLY,156w,232.72,229.09,1.58,182.6,26-01-2026,261.5,140,4
HALDER,NSE:HALDER,WEEKLY,104w,232.72,229.09,1.58,182.6,26-01-2026,261.5,140,4
HALDER,NSE:HALDER,WEEKLY,208w,232.72,229.09,1.58,182.6,26-01-2026,261.5,140,4
APS,NSE:APS,WEEKLY,52w,312.65,312.07,0.19,158.7,26-01-2026,293.0,140,6
APS,NSE:APS,WEEKLY,104w,312.65,312.07,0.19,158.7,26-01-2026,293.0,140,6
KUANTUM,NSE:KUANTUM,WEEKLY,52w,76.22,75.48,0.99,140.7,19-01-2026,84.19,147,5
KUANTUM,NSE:KUANTUM,WEEKLY,156w,76.22,75.48,0.99,140.7,19-01-2026,84.19,147,5
KUANTUM,NSE:KUANTUM,WEEKLY,104w,76.22,75.48,0.99,140.7,19-01-2026,84.19,147,5
SUKHJITS,NSE:SUKHJITS,WEEKLY,156w,170.31,167.68,1.57,137.0,15-12-2025,143.61,182,3
SUKHJITS,NSE:SUKHJITS,WEEKLY,260w,170.31,167.68,1.57,137.0,15-12-2025,143.61,182,3
SUKHJITS,NSE:SUKHJITS,WEEKLY,104w,170.31,167.68,1.57,137.0,15-12-2025,143.61,182,3
SUKHJITS,NSE:SUKHJITS,WEEKLY,52w,170.31,167.68,1.57,137.0,15-12-2025,143.61,182,3
SUKHJITS,NSE:SUKHJITS,WEEKLY,208w,170.31,167.68,1.57,137.0,15-12-2025,143.61,182,3
LGHL,NSE:LGHL,WEEKLY,156w,229.41,227.84,0.69,136.1,13-03-2023,9.79,1190,1
OSWALGREEN,NSE:OSWALGREEN,WEEKLY,52w,24.42,24.31,0.47,134.0,26-01-2026,25.48,140,5
OSWALGREEN,NSE:OSWALGREEN,WEEKLY,104w,24.42,24.31,0.47,134.0,26-01-2026,25.48,140,5
INDBANK,NSE:INDBANK,WEEKLY,52w,34.54,34.13,1.21,121.8,18-08-2025,31.35,301,6
