Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
SUMICHEM,NSE:SUMICHEM,MONTHLY,36mo,461.75,457.56,0.92,3706.8,01-03-2024,334.82,822,4
SUMICHEM,NSE:SUMICHEM,MONTHLY,60mo,461.75,457.56,0.92,3706.8,01-03-2024,334.82,822,4
PRAKASH,NSE:PRAKASH,MONTHLY,36mo,142.03,139.38,1.9,3681.5,01-07-2023,72.34,1066,3
DDEVPLSTIK,NSE:DDEVPLSTIK,MONTHLY,84mo,253.16,253.06,0.04,3627.1,01-03-2025,211.1,457,3
DDEVPLSTIK,NSE:DDEVPLSTIK,MONTHLY,120mo,253.16,253.06,0.04,3627.1,01-03-2025,211.1,457,3
DDEVPLSTIK,NSE:DDEVPLSTIK,MONTHLY,60mo,253.16,253.06,0.04,3627.1,01-03-2025,211.1,457,3
DDEVPLSTIK,NSE:DDEVPLSTIK,MONTHLY,36mo,253.16,253.06,0.04,3627.1,01-03-2025,211.1,457,3
REPCOHOME,NSE:REPCOHOME,MONTHLY,36mo,374.0,373.78,0.06,3524.5,01-07-2023,286.18,1066,3
JINDWORLD,NSE:JINDWORLD,MONTHLY,36mo,28.97,28.51,1.62,3440.3,01-08-2025,33.89,304,6
TIRUMALCHM,NSE:TIRUMALCHM,MONTHLY,84mo,173.9,168.72,3.07,3380.8,01-03-2020,30.41,2283,1
20MICRONS,NSE:20MICRONS,MONTHLY,36mo,187.83,184.55,1.78,3366.1,01-07-2023,89.96,1066,5
MANALIPETC,NSE:MANALIPETC,MONTHLY,120mo,62.52,60.81,2.81,3276.9,01-03-2020,7.2,2283,5
MANALIPETC,NSE:MANALIPETC,MONTHLY,84mo,62.52,60.81,2.81,3276.9,01-03-2020,7.2,2283,5
SUNDRMFAST,NSE:SUNDRMFAST,MONTHLY,84mo,825.65,820.17,0.67,3212.7,01-03-2020,236.32,2283,1
INDOAMIN,NSE:INDOAMIN,MONTHLY,84mo,134.08,132.74,1.01,3179.3,01-03-2023,68.34,1188,7
INDOAMIN,NSE:INDOAMIN,MONTHLY,60mo,134.08,132.74,1.01,3179.3,01-03-2023,68.34,1188,7
INDOAMIN,NSE:INDOAMIN,MONTHLY,120mo,134.08,132.74,1.01,3179.3,01-03-2023,68.34,1188,7
BEPL,NSE:BEPL,MONTHLY,60mo,97.22,94.77,2.58,3003.9,01-03-2023,47.4,1188,5
SPIC,NSE:SPIC,MONTHLY,60mo,68.88,67.93,1.4,2919.8,01-06-2022,38.25,1461,1
MTNL,NSE:MTNL,MONTHLY,84mo,30.14,29.84,1.02,2911.6,01-08-2019,4.45,2496,2
MTNL,NSE:MTNL,MONTHLY,120mo,30.14,29.84,1.02,2911.6,01-08-2019,4.45,2496,2
TAJGVK,NSE:TAJGVK,MONTHLY,36mo,330.5,329.01,0.45,2738.6,01-10-2023,210.71,974,2
GREENPOWER,NSE:GREENPOWER,MONTHLY,120mo,11.26,11.17,0.79,2287.5,01-03-2020,1.1,2283,3
GREENPOWER,NSE:GREENPOWER,MONTHLY,84mo,11.26,11.17,0.79,2287.5,01-03-2020,1.1,2283,3
BIRLACORPN,NSE:BIRLACORPN,MONTHLY,84mo,954.6,920.61,3.69,2265.7,01-05-2020,355.47,2222,2
BIRLACORPN,NSE:BIRLACORPN,MONTHLY,120mo,954.6,920.61,3.69,2265.7,01-05-2020,355.47,2222,2
SWELECTES,NSE:SWELECTES,MONTHLY,60mo,649.7,631.72,2.85,2149.6,01-08-2021,199.96,1765,5
RGL,NSE:RGL,MONTHLY,120mo,100.07,99.12,0.96,2019.1,01-11-2016,23.48,3499,3
GARFIBRES,NSE:GARFIBRES,MONTHLY,36mo,688.3,687.5,0.12,1964.7,01-07-2023,592.79,1066,7
PFS,NSE:PFS,MONTHLY,60mo,31.42,31.2,0.7,1963.7,01-06-2022,11.85,1461,4
GATEWAY,NSE:GATEWAY,MONTHLY,36mo,57.97,55.93,3.66,1949.6,01-03-2025,54.1,457,1
UNITECH,NSE:UNITECH,MONTHLY,84mo,4.94,4.82,2.52,1812.2,01-10-2019,0.35,2435,6
UNITECH,NSE:UNITECH,MONTHLY,120mo,4.94,4.82,2.52,1812.2,01-10-2019,0.35,2435,6
JAIBALAJI,NSE:JAIBALAJI,MONTHLY,60mo,67.24,65.28,3.0,1801.1,01-11-2022,7.16,1308,1
RAJRATAN,NSE:RAJRATAN,MONTHLY,120mo,445.6,441.09,1.02,1784.4,01-06-2020,32.56,2191,13
RAJRATAN,NSE:RAJRATAN,MONTHLY,84mo,445.6,441.09,1.02,1784.4,01-06-2020,32.56,2191,13
KCP,NSE:KCP,MONTHLY,60mo,164.71,163.49,0.75,1693.3,01-03-2023,91.09,1188,2
ZUARI,NSE:ZUARI,MONTHLY,36mo,214.99,212.24,1.3,1583.0,01-10-2023,135.3,974,1
HATSUN,NSE:HATSUN,MONTHLY,36mo,914.7,880.27,3.91,1457.4,01-05-2025,845.07,396,2
RITCO,NSE:RITCO,MONTHLY,36mo,253.55,246.26,2.96,1433.6,01-07-2023,164.8,1066,4
THOMASCOTT,NSE:THOMASCOTT,MONTHLY,36mo,259.35,250.84,3.39,1408.3,01-07-2023,57.05,1066,1
ONWARDTEC,NSE:ONWARDTEC,MONTHLY,36mo,255.75,255.07,0.27,1357.7,01-04-2025,202.91,426,2
BOSCH-HCIL,NSE:BOSCH-HCIL,MONTHLY,60mo,1384.0,1366.69,1.27,1297.3,01-08-2023,911.39,1035,1
BOSCH-HCIL,NSE:BOSCH-HCIL,MONTHLY,36mo,1384.0,1366.69,1.27,1297.3,01-08-2023,911.39,1035,1
BOSCH-HCIL,NSE:BOSCH-HCIL,MONTHLY,120mo,1384.0,1366.69,1.27,1297.3,01-08-2023,911.39,1035,1
BOSCH-HCIL,NSE:BOSCH-HCIL,MONTHLY,84mo,1384.0,1366.69,1.27,1297.3,01-08-2023,911.39,1035,1
ALEMBICLTD,NSE:ALEMBICLTD,MONTHLY,84mo,86.73,86.17,0.65,1258.4,01-03-2020,22.47,2283,16
ALEMBICLTD,NSE:ALEMBICLTD,MONTHLY,120mo,86.73,86.17,0.65,1258.4,01-03-2020,22.47,2283,16
ABINFRA,NSE:ABINFRA,MONTHLY,84mo,10.13,9.94,1.88,1257.1,01-12-2020,0.42,2008,0
ABINFRA,NSE:ABINFRA,MONTHLY,120mo,10.13,9.94,1.88,1257.1,01-12-2020,0.42,2008,0
PONNIERODE,NSE:PONNIERODE,MONTHLY,120mo,317.33,310.94,2.05,1164.2,01-03-2020,72.27,2283,11
PONNIERODE,NSE:PONNIERODE,MONTHLY,84mo,317.33,310.94,2.05,1164.2,01-03-2020,72.27,2283,11
NAVNETEDUL,NSE:NAVNETEDUL,MONTHLY,36mo,138.91,134.05,3.63,1125.6,01-07-2023,111.41,1066,1
GENCON,NSE:GENCON,MONTHLY,60mo,38.8,37.52,3.41,1108.8,01-03-2025,21.96,457,0
GENCON,NSE:GENCON,MONTHLY,36mo,38.8,37.52,3.41,1108.8,01-03-2025,21.96,457,0
GENCON,NSE:GENCON,MONTHLY,84mo,38.8,37.52,3.41,1108.8,01-03-2025,21.96,457,0
GENCON,NSE:GENCON,MONTHLY,120mo,38.8,37.52,3.41,1108.8,01-03-2025,21.96,457,0
CREST,NSE:CREST,MONTHLY,36mo,362.4,349.95,3.56,1078.5,01-07-2023,209.43,1066,2
HONDAPOWER,NSE:HONDAPOWER,MONTHLY,36mo,2227.9,2202.56,1.15,1041.3,01-04-2025,1742.3,426,3
AUTOAXLES,NSE:AUTOAXLES,MONTHLY,36mo,1691.6,1677.92,0.82,1009.4,01-04-2025,1495.37,426,1
KIRLOSIND,NSE:KIRLOSIND,MONTHLY,60mo,3148.8,3130.95,0.57,974.5,01-06-2022,1182.18,1461,4
DPABHUSHAN,NSE:DPABHUSHAN,MONTHLY,60mo,900.1,887.19,1.46,939.7,01-07-2021,159.3,1796,1
UNICHEMLAB,NSE:UNICHEMLAB,MONTHLY,60mo,379.65,369.77,2.67,924.9,01-11-2021,195.33,1673,2
JUBLCPL,NSE:JUBLCPL,MONTHLY,36mo,1811.6,1792.95,1.04,802.6,01-04-2025,1020.0,426,4
JUBLCPL,NSE:JUBLCPL,MONTHLY,60mo,1811.6,1792.95,1.04,802.6,01-04-2025,1020.0,426,4
JUBLCPL,NSE:JUBLCPL,MONTHLY,84mo,1811.6,1792.95,1.04,802.6,01-04-2025,1020.0,426,4
JUBLCPL,NSE:JUBLCPL,MONTHLY,120mo,1811.6,1792.95,1.04,802.6,01-04-2025,1020.0,426,4
